,time(minute),티익스프레스,사파리월드,로스트밸리,아마존익스프레스,썬더폴스,콜럼버스대탐험,더블락스핀,랫츠트위스트,롤링엑스트레인,허리케인,챔피온쉽로데오,로얄쥬빌리캐로셀,시크릿쥬쥬비행기,플래쉬팡팡,피터팬,나는코끼리,로보트카,붕붕카,스카이댄싱,매직스윙,비룡열차,우주전투기,레이싱코스터,릴리댄스,플라잉레스큐,슈팅고스트
29,,,활용,,,,,,,,,,,,,,,,,,,,,,,,
30,,,"비교할 두 기구 중 목차 상 앞쪽에 해당하는 기구의 행에서, 뒤쪽 기구의 열로 이동하여 이동시간(단위:분) 취득",,,,,,,,,,,,,,,,,,,,,,,,
31,,,마지막 항목 '슈팅코스트' -> '슈팅고스트' 로 오자 수정,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,수집경로,,,,,,,,,,,,,,,,,,,,,,,,
34,,,네이버 지도 길찾기로 직접 수집,,,,,,,,,,,,,,,,,,,,,,,,
35,,,관련링크,,,,,,,,,,,,,,,,,,,,,,,,
36,,,에버랜드 지도,,chrome-extension://hmigninkgibhdckiaphhmbgcghochdjc/pdfjs/web/viewer.html?file=https://wwwrod.everland.com/web/images/front/everland/common/everland.pdf,,,,,,,,,,,,,,,,,,,,,,
37,,,네이버 지도,,"https://map.naver.com/p/search/%EB%A1%9C%EC%8A%A4%ED%8A%B8%EB%B0%B8%EB%A6%AC/place/1423573675?c=16.83,0,0,0,dh",,,,,,,,,,,,,,,,,,,,,,
38,,,웹툴(geocode api),,https://xn--yq5bk9r.com/blog/map-coordinates,,,,,,,,,,,,,,,,,,,,,,
