,time(minute),티익스프레스,사파리월드,로스트밸리,아마존익스프레스,썬더폴스,콜럼버스대탐험,더블락스핀,랫츠트위스트,롤링엑스트레인,허리케인,챔피온쉽로데오,로얄쥬빌리캐로셀,시크릿쥬쥬비행기,플래쉬팡팡,피터팬,나는코끼리,로보트카,붕붕카,스카이댄싱,매직스윙,비룡열차,우주전투기,레이싱코스터,릴리댄스,플라잉레스큐,슈팅고스트,Unnamed: 27,위도,경도
0,티익스프레스,0,3.1486156476234486,7.177824252148474,4.157859088304594,14.679623741271675,14.938891255284272,15.289629743946964,9.25626202370836,9.245823963411773,11.167163785504199,12.37365201658301,10.003209394143791,14.803075631091643,20.722602987921103,12.301376132055312,11.598162124748066,19.73324643093476,19.21853120636519,19.21332606085209,12.007346360965064,6.239563714460132,7.241233571979993,18.999979388613085,18.86597435361323,13.200115279700773,4.5055380795450475,,37.2901822000008,127.199760553937
1,사파리월드,3.1486156476234486,0.0022454230851522835,4.9265872005254705,1.0752622901834796,14.091898183072214,13.76561855913124,15.201393563619927,8.475366613537886,8.124805208408198,9.384646864822985,10.849339709478665,10.3848421753868,15.164956504607844,21.08758628738467,12.148478906418312,11.406115190864577,20.07957916261737,19.653585804014412,19.8098829787589,12.20878759161897,6.058516000706203,7.154229807470896,18.783033777087415,18.81206001035582,12.229684004742849,3.916147897295653,,37.291290899999,127.200328353939
2,로스트밸리,7.177824252148474,4.9265872005254705,0,4.063506118978229,18.207862085863663,17.353914551593128,19.634914441945416,12.717339557286527,12.130408758577445,12.545069663664782,14.210930229667225,15.141972913145613,19.83308427173961,25.69349895146553,16.619289909214952,15.877821208924171,24.685054807939746,24.30568362309101,24.530826815690357,16.85693892114224,10.779081898462918,11.848875717164539,23.065988633456556,23.204191646540657,16.093663604066744,8.676647192843372,,37.2916740999993,127.202633153937
3,아마존익스프레스,4.157859088304594,1.0752622901834796,4.063506118978229,0,14.474309150823812,13.945187194989476,15.729293536749209,8.885482169717138,8.424212775406763,9.379550984597776,10.929025695855676,11.09336589562638,15.819162613808189,21.710989791156628,12.68813802377136,11.944154688213565,20.70200581532855,20.301942021809054,20.500163102186626,12.847207955407866,6.73241725407661,7.812390347180121,19.2480858806793,19.326262197588882,12.50246815543213,4.616430409237006,,37.2915775000002,127.200694853937
4,썬더폴스,14.679623741271675,14.091898183072214,18.207862085863663,14.474309150823812,0.0,2.7832451646182172,2.516116550421554,5.616814877128947,6.079933211742454,6.484120183259553,4.947254623561209,5.637386762537162,4.47151187564723,8.39137890127913,2.852261876429593,3.3305627252931047,7.481780045765255,7.432911408003593,8.136948239986639,4.03050128813732,8.4421685094932,7.454163452912673,4.931107069857603,5.280407318304575,2.3884125324082963,10.38630951990342,,37.2936974000003,127.194310753936
5,콜럼버스대탐험,14.938891255284272,13.76561855913124,17.353914551593128,13.945187194989476,2.7832451646182172,0.0,5.282102835462459,5.729116367830285,5.720086510499754,4.890194345310519,3.183728056805047,7.338075966981413,7.241204328186806,10.77729962031532,4.886754658869259,5.0070548352890665,9.943728803342383,9.99599310355905,10.775918035047095,6.250553715484626,8.848350006491197,8.072865603639224,6.862693669141706,7.473979365415108,1.889166933215395,10.449211856745078,,37.2945188999994,127.195149353938
6,더블락스핀,15.289629743946964,15.201393563619927,19.634914441945416,15.729293536749209,2.516116550421554,5.282102835462459,0.0,6.9358007864610585,7.655187063236418,8.667406987469567,7.273617546479563,5.421858952780012,2.1786355616520026,6.236696472506755,3.0537588853274986,3.795304408660933,5.262372124607331,5.0908544954509685,5.7020113073768055,3.3970824710499463,9.224089261675957,8.140485887453666,3.727030320119401,3.6138317960172555,4.706024320714522,11.327364305865196,,37.2930614999991,127.193412279034
7,랫츠트위스트,9.25626202370836,8.475366613537886,12.717339557286527,8.885482169717138,5.616814877128947,5.729116367830285,6.9358007864610585,0.0,1.009798991712998,3.61956072335303,3.783986290328208,3.7659875580206896,7.463031405839828,13.095688021165968,3.9933276102136763,3.2818077870947384,12.095502885709521,11.793090734071583,12.167188154043417,4.614207308865804,3.1217995296640524,2.459493813699187,10.367620518133144,10.487246297766502,3.945204526766292,4.826610436713163,,37.2927234000001,127.196699853936
8,롤링엑스트레인,9.245823963411773,8.124805208408198,12.130408758577445,8.424212775406763,6.079933211742454,5.720086510499754,7.655187063236418,1.009798991712998,0.0,2.7527934625913972,3.277422488838263,4.774257934108803,8.348614084083934,13.867514833628759,4.82452494489644,4.148970745948276,12.875199388123377,12.606628311969766,13.023526486819819,5.562794039324044,3.419460148775887,3.0487983884051566,10.946754891056989,11.138477289629527,4.1051769084807885,4.742590305563841,,37.2929704999998,127.197069253937
9,허리케인,11.167163785504199,9.384646864822985,12.545069663664782,9.379550984597776,6.484120183259553,4.890194345310519,8.667406987469567,3.61956072335303,2.7527934625913972,0.0,1.7069380789534048,7.238244522076873,9.910252564862667,14.83415713453229,6.423597795107365,5.931684061462507,13.892615183322315,13.757978440023319,14.336991412733807,7.515890938444523,5.982472934640228,5.778451797504959,11.347677833090371,11.762171267935093,4.098522110215192,6.7714082946828,,37.2939859000002,127.197388553934
10,챔피온쉽로데오,12.37365201658301,10.849339709478665,14.210930229667225,10.929025695855676,4.947254623561209,3.183728056805047,7.273617546479563,3.783986290328208,3.277422488838263,1.7069380789534048,0.0,6.8572996889161235,8.738309089530683,13.338062997275593,5.426802972314104,5.090313714507443,12.420822414326812,12.336190132908062,12.975351336714017,6.676387111568066,6.695005223619642,6.219187196848303,9.726649534249903,10.19013470443212,2.578567067165315,7.884783581257919,,37.2941600999996,127.196602653936
11,로얄쥬빌리캐로셀,10.003209394143791,10.3848421753868,15.141972913145613,11.09336589562638,5.637386762537162,7.338075966981413,5.421858952780012,3.7659875580206896,4.774257934108803,7.238244522076873,6.8572996889161235,0.0,4.82943893373891,10.773400970492979,2.7935481778120996,2.3756491347692705,9.772856197457147,9.302600045285502,9.425278346622644,2.0360763070999623,4.362925815080324,3.3043092543036803,9.142696652393628,8.910196716872774,5.5307883827932125,6.484912489271676,,37.2917356999992,127.195396653935
